Ticker,Capital_Final,Rendimiento
CVNA,726.7137475835686,45.34274951671373
TSLA,611.6395129665545,22.3279025933109
COIN,610.9773231246612,22.19546462493225
PLTR,589.4321165105271,17.886423302105413
ON,586.8117937813638,17.362358756272766
TTD,564.6271074257021,12.92542148514042
VST,560.6384944504139,12.127698890082783
MRVL,554.2621624196499,10.852432483929997
MU,546.8161201902551,9.36322403805101
LRCX,545.1548660484359,9.030973209687176
URI,538.8100062778435,7.762001255568696
LCID,521.2344282695423,4.24688565390845
AMD,520.6054245951036,4.121084919020723
SLB,517.2512794822344,3.4502558964468744
DDOG,508.8437483759237,1.7687496751847442
OKTA,506.67616440803477,1.3352328816069514
ZS,506.55106068446923,1.3102121368938402
AMAT,505.4711096200668,1.094221924013361
KLAC,505.2558081726315,1.0511616345262986
UPST,503.8455569213598,0.7691113842719588
NVDA,500.0,0.0
RIVN,500.0,0.0
DE,500.0,0.0
GS,500.0,0.0
CAT,500.0,0.0
CRWD,500.0,0.0
MS,500.0,0.0
COF,500.0,0.0
NET,490.9907089558612,-1.8018582088277668
HAL,474.5421947493925,-5.091561050121507
SNOW,466.38618717710796,-6.72276256457841
FANG,451.7270224448452,-9.654595511030962
DVN,433.2026534988105,-13.359469300237903
OXY,431.66283312575194,-13.667433374849614
