Ticker,Año,Beneficio,Capital_Invertido,Rentabilidad_%
AMAT,2018,-3635.521597224385,107690.58326540617,-3.3758955397841515
AMD,2017,-509.49503353984255,20654.12656430708,-2.466795349362843
AMD,2018,-5236.203874283803,379844.6522433092,-1.378511937277389
AMD,2019,6162.3533718790895,270619.1233859712,2.277131525213766
CAT,2018,-3911.155624461697,205234.46607164876,-1.905701171603548
CAT,2019,1998.376172254606,152913.88742706977,1.3068637557250677
CAT,2020,1880.6464984588165,154464.55115855177,1.2175262766460941
CAT,2021,836.8771467356355,79697.91482693396,1.0500615336711574
CAT,2022,-2602.4747167422133,81792.2553174342,-3.181810682004131
CAT,2023,-289.0657762356095,31003.27800656207,-0.9323716549405732
CAT,2024,254.23929942204177,39229.305984976105,0.6480851318639422
CAT,2025,-273.9177897928166,43092.971198429375,-0.635643777105813
CAT,2026,437.82993639851065,10099.502462687065,4.335163420337659
COF,2018,-1600.579141315573,82717.84183010488,-1.9349865831884503
COF,2019,1632.28919657807,85222.60258546328,1.9153242767271408
COF,2020,744.0003157485571,218208.39763531863,0.34095860828966335
COF,2021,-78.02525867045188,38124.780226649695,-0.2046575959431007
COIN,2021,-1077.6257717966637,227296.11547633747,-0.4741065501882056
CRWD,2019,-7014.426993533485,283615.75075911864,-2.4732148954206
CRWD,2020,1742.8514761278993,223161.55331102575,0.780981961394956
CRWD,2021,-2566.790238367228,320405.99167393404,-0.8011055676447401
CRWD,2022,-1787.1335921807322,242357.941788674,-0.7373942768250763
CRWD,2023,2564.755474190201,105726.77684578937,2.4258334082491646
CRWD,2024,442.73422955954175,104682.26143128498,0.4229314723489798
CRWD,2025,908.6011737779872,90381.104483474,1.005299922998975
CRWD,2026,-1015.8309614253685,26410.664211375057,-3.846290851662302
CVNA,2017,-708.7343569291916,25000.0,-2.8349374277167665
CVNA,2018,1495.6643251153719,447777.73326131847,0.33401936139654304
CVNA,2019,12499.401807735747,377725.8958480878,3.309119640757356
CVNA,2020,2971.2992185537114,291101.7680760888,1.0207080630912098
CVNA,2021,1277.7267064209318,220903.85240297552,0.5784085214096163
CVNA,2022,-10431.792342871664,203495.35575468827,-5.126304875206632
DDOG,2019,1001.8951580376943,139171.736297687,0.7198984396477244
DDOG,2020,3484.721234972805,234192.14249307284,1.4879753000576779
DDOG,2021,2492.237721328648,272065.6331836625,0.9160428284031821
DDOG,2022,-4050.199376602186,304482.349555032,-1.3301918428181845
DDOG,2023,4968.1067265604315,141337.86524239084,3.5150571420052614
DDOG,2024,1346.377656248932,82135.63708485408,1.639212531897687
