Año,Capital_Operacion,Retorno_%
2017,401769.86196785996,1.2923134467028385
2018,6985762.7434904715,0.16350045402730168
2019,5190010.875514523,0.7433107595507537
2020,2534478.1333609703,1.4945529018232915
2021,399561.46024758305,0.49124945844190626
2022,156908.19151127915,-0.25487545501828324
2023,20798.564095427457,0.7959126911161585
2024,14440.093909290707,0.3038089989259118
2025,12250.299533099576,-0.18872008830028938
