Fecha,Equity
2025-05-06,250000.0
2025-05-07,250000.0
2025-05-08,253487.1629002135
2025-05-09,254330.52149497526
2025-05-12,260143.2619980796
2025-05-13,260779.91884541264
2025-05-14,260779.91884541264
2025-05-15,258782.90955714183
2025-05-16,261247.8057184212
2025-05-19,260990.75777938188
2025-05-20,262765.73932938965
2025-05-21,260882.977306418
2025-05-22,261389.33470649988
2025-05-23,259731.8273141483
2025-05-27,262737.93307822396
2025-05-28,262088.8080223167
2025-05-29,262111.46424995415
2025-05-30,258871.13337116232
2025-06-02,258993.63120310675
2025-06-03,259606.2903493343
2025-06-04,259414.70925721264
2025-06-05,256134.58066393985
2025-06-06,258939.48258095258
2025-06-09,260008.39866128637
2025-06-10,260261.71444202203
2025-06-11,260186.7843137536
2025-06-12,260681.1672869554
2025-06-13,257392.69823764867
2025-06-16,263254.7827566296
2025-06-17,262766.03314556
2025-06-18,266299.45693761186
2025-06-20,267011.8132646219
2025-06-23,267595.3600367313
2025-06-24,267681.06254409824
2025-06-25,266272.45791211585
2025-06-26,267077.7001389157
2025-06-27,267301.21684505255
2025-06-30,267689.486714166
2025-07-01,265619.5978793694
2025-07-02,268200.59340302914
2025-07-03,271355.2366156345
2025-07-07,271667.28798496193
2025-07-08,273027.4246281573
2025-07-09,273568.9843998192
2025-07-10,274074.2144405064
2025-07-11,272303.93839267245
2025-07-14,273259.3654427532
2025-07-15,272981.0097241203
2025-07-16,272884.63898476795
2025-07-17,273822.3709934283
2025-07-18,274797.7113611472
2025-07-21,273560.6429558605
2025-07-22,275980.52710150613
2025-07-23,276245.83099313936
2025-07-24,276709.7471427215
2025-07-25,278073.3601539222
2025-07-28,279814.3535254649
2025-07-29,278205.75831925136
2025-07-30,279122.7628873341
2025-07-31,281459.5091527374
2025-08-01,274154.3064149959
2025-08-04,277558.0778813634
2025-08-05,275185.91341687087
2025-08-06,275817.2030819928
2025-08-07,279162.426167245
2025-08-08,277726.28125184134
2025-08-11,276628.1081982575
2025-08-12,278663.5457629783
2025-08-13,280813.2616910777
2025-08-14,278915.1086403837
2025-08-15,279120.7091816574
2025-08-18,280907.9604476029
2025-08-19,276836.81084859883
2025-08-20,275706.18586559256
2025-08-21,274846.88316668203
2025-08-22,278617.3259831751
2025-08-25,277814.88594562403
2025-08-26,279218.76904900576
2025-08-27,279023.272789823
2025-08-28,279969.9305354723
2025-08-29,277363.9375823154
2025-09-02,273694.7049098904
2025-09-03,271881.66110286186
2025-09-04,273625.1356652504
2025-09-05,274253.7533231812
2025-09-08,274934.2129505574
2025-09-09,276339.1989168841
2025-09-10,275862.6199656683
2025-09-11,275753.657531008
2025-09-12,276168.5039348266
2025-09-15,278702.8528384565
2025-09-16,279442.71547796135
2025-09-17,281101.5791945834
2025-09-18,282854.1611716287
2025-09-19,284672.45963094383
2025-09-22,285453.03902877425
2025-09-23,283473.86481737706
2025-09-24,282734.47118799726
2025-09-25,280567.9470331078
2025-09-26,282013.9502989519
2025-09-29,281863.31185211363
2025-09-30,280147.6130056954
2025-10-01,282215.9414423349
2025-10-02,282010.4977778723
2025-10-03,281794.95013398246
2025-10-06,284310.6728491194
2025-10-07,281714.5732906127
2025-10-08,286063.3082906162
2025-10-09,285186.0083105243
2025-10-10,276787.60040497157
2025-10-13,284331.0953970938
2025-10-14,283551.9453609559
2025-10-15,285501.45611540996
2025-10-16,283401.0981806312
2025-10-17,283255.08245352074
2025-10-20,285708.33880714886
2025-10-21,285841.2389941692
2025-10-22,282027.8977117274
2025-10-23,285167.20675770385
2025-10-24,289689.57748362265
2025-10-27,292868.1861815075
2025-10-28,292275.7707460816
2025-10-29,290833.63820752566
2025-10-30,284305.9142427979
2025-10-31,288532.9996889741
2025-11-03,289040.8694659677
2025-11-04,283077.55703857297
2025-11-05,292765.51478532556
2025-11-06,286688.78918539756
2025-11-07,287387.2962767416
2025-11-10,292712.4256872578
2025-11-11,291098.37840595655
2025-11-12,292756.56427198974
2025-11-13,285506.5879452272
2025-11-14,284716.65197534615
2025-11-17,280095.67917431466
2025-11-18,275767.88017599285
2025-11-19,276709.6672292618
2025-11-20,270928.7804164809
2025-11-21,271385.10873321514
2025-11-24,279251.915160291
2025-11-25,280775.2854218917
2025-11-26,283120.25843928277
2025-11-28,285016.7731659864
2025-12-01,284607.9797366554
2025-12-02,285860.7330464612
2025-12-03,290838.9932045489
2025-12-04,291225.24581329507
2025-12-05,292164.02378506464
2025-12-08,294458.0846419741
2025-12-09,293995.44694362365
2025-12-10,295480.30640024354
2025-12-11,295728.27856168454
2025-12-12,294890.74427340116
2025-12-15,293240.25025449594
2025-12-16,292664.4659703124
2025-12-17,286943.92707133066
2025-12-18,293263.4758941906
2025-12-19,295456.401005079
2025-12-22,296166.56838504673
2025-12-23,296324.92160810303
2025-12-24,296059.53385096526
2025-12-26,295027.8262267689
2025-12-29,293797.3886017056
2025-12-30,293191.14873888757
2025-12-31,291376.0046415416
2026-01-02,292654.6185625701
2026-01-05,300324.7274303668
2026-01-06,299576.7287968674
2026-01-07,298988.5649135563
2026-01-08,299546.6461172805
2026-01-09,302775.02029460046
2026-01-12,303285.0527676048
2026-01-13,305509.87866319704
2026-01-14,303910.3673276054
2026-01-15,303001.9628779299
2026-01-16,301692.57408402825
2026-01-20,297725.2916349823
2026-01-21,305710.43772575725
2026-01-22,309064.30726816936
2026-01-23,306596.6388301581
2026-01-26,308943.1622459519
2026-01-27,310060.5325699176
2026-01-28,306486.06045999506
2026-01-29,302711.5706410672
2026-01-30,297666.69473649387
2026-02-02,298659.6834461388
2026-02-03,294692.34450829076
2026-02-04,289743.19913996756
2026-02-05,283114.9994585252
2026-02-06,296020.12105004955
2026-02-09,298199.94687534287
2026-02-10,298294.20351101644
2026-02-11,297334.38908124366
2026-02-12,291649.81582228094
2026-02-13,296906.3132362262
2026-02-17,296205.89475239185
2026-02-18,297273.62298392376
2026-02-19,294974.3067493185
2026-02-20,294361.722999586
2026-02-23,283988.780375154
2026-02-24,287414.0174133731
2026-02-25,293395.880265002
2026-02-26,296735.50406987855
2026-02-27,292405.72644075076
2026-03-02,289661.1631674148
