Fecha,Ticker,Tipo,Precio,Capital_Operacion,Capital_Total,Retorno_%,Dias_en_Posicion,Año
2017-12-15,CSX,BUY,15.793604850769043,125000.0,125000.0,0.0,0,2017
2017-12-15,SIRI,BUY,43.902217864990234,62500.0,62500.0,0.0,0,2017
2017-12-18,ENPH,BUY,2.559999942779541,31250.0,31250.0,0.0,0,2017
2017-12-18,MDB,BUY,28.299999237060547,15625.0,15625.0,0.0,0,2017
2017-12-19,CSX,SELL,16.366512298583984,129534.33093036897,145159.33093036897,3.6274647442951835,4,2017
2017-12-20,MDB,SELL,29.5,16287.54460870708,161446.87553907605,4.240285495725304,2,2017
2017-12-20,MELI,BUY,314.7519226074219,80723.43776953802,80723.43776953802,0.0,0,2017
2017-12-20,ROKU,BUY,52.88999938964844,40361.71888476901,40361.71888476901,0.0,0,2017
2017-12-21,ALGN,BUY,218.75999450683594,20180.859442384506,20180.859442384506,0.0,0,2017
2017-12-21,BIIB,BUY,322.5199890136719,10090.429721192253,10090.429721192253,0.0,0,2017
2017-12-21,KLAC,BUY,95.90866088867188,5045.2148605961265,5045.2148605961265,0.0,0,2017
2017-12-21,TTD,BUY,4.616000175476074,2522.6074302980633,2522.6074302980633,0.0,0,2017
2017-12-22,SIRI,SELL,43.902217864990234,62500.0,65022.60743029806,0.0,7,2017
2017-12-22,AMD,BUY,10.539999961853027,32511.30371514903,32511.30371514903,0.0,0,2017
2017-12-26,MELI,SELL,318.3402404785156,81643.72239231328,114155.02610746231,1.1400463709221986,6,2017
2017-12-26,ROKU,SELL,54.869998931884766,41872.707461776925,156027.73356923924,3.743618009237215,6,2017
2017-12-26,ALGN,SELL,223.5399932861328,20621.819791269256,176649.5533605085,2.185042466321474,5,2017
2017-12-26,MU,BUY,41.22319412231445,88324.77668025425,88324.77668025425,0.0,0,2017
2017-12-27,TTD,SELL,4.701000213623047,2569.0592759770025,90893.83595623125,1.8414219002538479,6,2017
2017-12-28,BIIB,SELL,320.3299865722656,10021.912833938755,100915.74879017001,-0.6790284373082378,7,2017
2017-12-28,KLAC,SELL,95.22874450683594,5009.44828642215,105925.19707659216,-0.7089207330557623,7,2017
2017-12-29,AMD,SELL,10.279999732971191,31709.316387086506,137634.51346367865,-2.466795349362838,7,2017
2018-01-02,MU,SELL,42.608680725097656,91293.31896305781,228927.83242673648,3.36093947177476,7,2018
2018-01-02,VRSN,BUY,108.1209716796875,114463.91621336824,114463.91621336824,0.0,0,2018
2018-01-03,INTC,BUY,37.995582580566406,57231.95810668412,57231.95810668412,0.0,0,2018
