Fecha,Capital_Total,Max_Acumulado,Drawdown_%
2017-12-22,152706.32821535406,152706.32821535406,0.0
2017-12-27,70002.02639766784,152706.32821535406,-54.15905338320525
2017-12-28,97057.93759968999,152706.32821535406,-36.44144369523832
2017-12-29,171527.62540606747,171527.62540606747,0.0
2018-01-02,210987.30645940482,210987.30645940482,0.0
2018-01-03,242691.8735238427,242691.8735238427,0.0
2018-01-16,182942.8605664406,242691.8735238427,-24.619288684807238
2018-01-16,243545.24437218014,243545.24437218014,0.0
2018-01-18,249031.12700444076,249031.12700444076,0.0
2018-01-26,127965.61614557767,249031.12700444076,-48.614609874332785
2018-01-31,19076.459179874586,249031.12700444076,-92.33972900924373
2018-02-01,137255.36145019953,249031.12700444076,-44.88425479126874
2018-02-05,55998.99079997063,249031.12700444076,-77.5132564858159
2018-02-05,85881.4456173763,249031.12700444076,-65.51377064769704
2018-02-06,7560.742508456085,249031.12700444076,-96.96393675786511
2018-02-06,11771.754244780317,249031.12700444076,-95.27297876920807
2018-02-06,13638.987162351243,249031.12700444076,-94.52317976213953
2018-02-06,24930.173155963086,249031.12700444076,-89.9891337055554
2018-02-06,27763.166163377464,249031.12700444076,-88.85152771971256
2018-02-07,27937.815667090235,249031.12700444076,-88.78139612378976
2018-02-08,65097.857393088576,249031.12700444076,-73.85954993813776
2018-02-08,96587.6354067071,249031.12700444076,-61.21463346026429
2018-02-09,47172.73014142647,249031.12700444076,-81.05749642269207
2018-02-09,34166.924265786976,249031.12700444076,-86.28005877145722
2018-02-09,33914.98607068115,249031.12700444076,-86.38122612275839
2018-02-09,33418.32672572134,249031.12700444076,-86.5806627758925
2018-02-09,34291.12568368262,249031.12700444076,-86.23018491858203
2018-02-09,30483.57681882664,249031.12700444076,-87.75912987845771
2018-02-09,26371.497766852342,249031.12700444076,-89.41036083156702
2018-02-09,18630.14728637817,249031.12700444076,-92.51894832968172
2018-02-09,32402.594263680403,249031.12700444076,-86.98853647194771
2018-02-12,197599.7421088892,249031.12700444076,-20.652592916480856
2018-02-12,91171.21978702667,249031.12700444076,-63.38962888546824
2018-02-12,112813.53245711687,249031.12700444076,-54.699023445729665
2018-02-12,118255.98660640694,249031.12700444076,-52.513572086794525
2018-02-12,119520.83181399533,249031.12700444076,-52.00566561630505
2018-02-12,120153.80582939091,249031.12700444076,-51.75149095829763
2018-02-12,120471.75777728124,249031.12700444076,-51.623815373436045
2018-02-12,170745.5360383085,249031.12700444076,-31.43606661055518
2018-02-13,214040.66899972368,249031.12700444076,-14.050636330330352
2018-02-13,204687.2738165023,249031.12700444076,-17.806550418553783
2018-02-13,210885.73587364325,249031.12700444076,-15.31751937584786
2018-02-14,227553.5721986965,249031.12700444076,-8.62444589320807
2018-02-23,130405.33083039845,249031.12700444076,-47.63492724824193
2018-02-26,190740.66979402723,249031.12700444076,-23.406896122416892
2018-02-26,220152.54463569046,249031.12700444076,-11.59637460430211
2018-02-26,234682.2335357057,249031.12700444076,-5.761887536444068
2018-03-05,120037.28726958162,249031.12700444076,-51.79827971165986
2018-03-05,127689.1360608868,249031.12700444076,-48.72563217424229
2018-03-05,129645.49286124641,249031.12700444076,-47.94004491698158
2018-03-06,186363.64234533755,249031.12700444076,-25.164518754310468
2018-03-06,182539.6089247641,249031.12700444076,-26.700083190199344
2018-03-07,216013.83398653512,249031.12700444076,-13.258299641119512
2018-03-07,230385.5222598989,249031.12700444076,-7.487258708912068
2018-03-08,116104.41923144435,249031.12700444076,-53.37754736604715
2018-03-12,180040.4248855264,249031.12700444076,-27.703646105928005
2018-03-16,78890.6929692874,249031.12700444076,-68.32095091153782
2018-03-20,95657.20595494073,249031.12700444076,-61.58825320128156
2018-03-20,101026.1558182219,249031.12700444076,-59.4323179461737
2018-03-21,168082.54487519365,249031.12700444076,-32.505407297057936
2018-03-21,144644.46519418474,249031.12700444076,-41.91711416396336
2018-03-26,38718.41909105554,249031.12700444076,-84.45237767792574
2018-03-26,58725.88625651123,249031.12700444076,-76.41825463229581
2018-03-26,68519.82506314607,249031.12700444076,-72.48543750841066
2018-03-29,77550.40118756847,249031.12700444076,-68.85915342374626
2018-03-29,119708.33402542298,249031.12700444076,-51.93037293555343
2018-03-29,140978.3700056392,249031.12700444076,-43.3892575191513
2018-03-29,151785.3427444878,249031.12700444076,-39.049650310669335
2018-03-29,157022.53505388473,249031.12700444076,-36.94662312190207
2018-03-29,159506.2750073833,249031.12700444076,-35.94926187498684
