Fecha,Equity,Max_Acumulado,Drawdown_%
2025-05-06,250000.0,250000.0,0.0
2025-05-07,250000.0,250000.0,0.0
2025-05-08,253487.16432367245,253487.16432367245,0.0
2025-05-09,254330.52452857085,254330.52452857085,0.0
2025-05-12,260143.26678397204,260143.26678397204,0.0
2025-05-13,260779.92363130508,260779.92363130508,0.0
2025-05-14,260779.92363130508,260779.92363130508,0.0
2025-05-15,258782.91430638472,260779.92363130508,-0.765783384361968
2025-05-16,261247.8105129004,261247.8105129004,0.0
2025-05-19,260990.76257406446,261247.8105129004,-0.09839238014331976
2025-05-20,262765.7463558561,262765.7463558561,0.0
2025-05-21,260882.98204978122,262765.7463558561,-0.7165181657753582
2025-05-22,261389.33829472758,262765.7463558561,-0.5238156343500405
2025-05-23,259731.83576565306,262765.7463558561,-1.154606577256966
2025-05-27,262737.9396916245,262765.7463558561,-0.010582301771549396
2025-05-28,262088.8146248857,262765.7463558561,-0.25761795072546134
2025-05-29,262111.4708558496,262765.7463558561,-0.24899573444419604
2025-05-30,258871.13989496173,262765.7463558561,-1.482159115069757
2025-06-02,258993.63884167385,262765.7463558561,-1.4355400452667155
2025-06-03,259606.2976274616,262765.7463558561,-1.2023822633699635
2025-06-04,259414.71653077487,262765.7463558561,-1.2752917271580213
2025-06-05,256134.58785496198,262765.7463558561,-2.523600809031539
2025-06-06,258939.48984968298,262765.7463558561,-1.4561473705143264
2025-06-09,260008.40596005952,262765.7463558561,-1.0493530583938517
2025-06-10,260261.7217480297,262765.7463558561,-0.9529494017212209
2025-06-11,260186.791617663,262765.7463558561,-0.9814653446878608
2025-06-12,260681.17460475047,262765.7463558561,-0.793319441371396
2025-06-13,257392.70546315418,262765.7463558561,-2.044802630182014
2025-06-16,263254.7885470566,263254.7885470566,0.0
2025-06-17,262766.038016444,263254.7885470566,-0.18565684343676545
2025-06-18,266299.46280846937,266299.46280846937,0.0
2025-06-20,267011.8191563416,267011.8191563416,0.0
2025-06-23,267595.36593883915,267595.36593883915,0.0
2025-06-24,267681.0654548729,267681.0654548729,0.0
2025-06-25,266272.4612073632,267681.0654548729,-0.5262248359315518
2025-06-26,267077.70614916284,267681.0654548729,-0.2254023102772593
2025-06-27,267301.22685930884,267681.0654548729,-0.14189968756983481
2025-06-30,267689.49404463114,267689.49404463114,0.0
2025-07-01,265619.6051921383,267689.49404463114,-0.7732424688089332
2025-07-02,268200.60189401184,268200.60189401184,0.0
2025-07-03,271355.2440597349,271355.2440597349,0.0
2025-07-07,271667.29544899525,271667.29544899525,0.0
2025-07-08,273027.4310068857,273027.4310068857,0.0
2025-07-09,273568.9907779127,273568.9907779127,0.0
2025-07-10,274074.2208182763,274074.2208182763,0.0
2025-07-11,272303.94584952615,274074.2208182763,-0.6459107914143839
2025-07-14,273259.3729224487,274074.2208182763,-0.29730920821184836
2025-07-15,272981.01720064424,274074.2208182763,-0.39887137665416683
2025-07-16,272884.6445510461,274074.2208182763,-0.4340343515995805
2025-07-17,273822.3750023809,274074.2208182763,-0.09188964038407077
2025-07-18,274797.71658372006,274797.71658372006,0.0
2025-07-21,273560.64956712065,274797.71658372006,-0.45017368847842054
2025-07-22,275980.53337973705,275980.53337973705,0.0
2025-07-23,276245.837437009,276245.837437009,0.0
2025-07-24,276709.75478170277,276709.75478170277,0.0
2025-07-25,278073.36981121066,278073.36981121066,0.0
2025-07-28,279814.3599487907,279814.3599487907,0.0
2025-07-29,278205.7657631831,279814.3599487907,-0.5748790683587353
2025-07-30,279122.7682508172,279814.3599487907,-0.24716090271423513
2025-07-31,281459.51459420304,281459.51459420304,0.0
2025-08-01,274154.31173852395,281459.51459420304,-2.595471986872228
2025-08-04,277558.0849059151,281459.51459420304,-1.386142406275688
2025-08-05,275185.91755015764,281459.51459420304,-2.228951845202467
2025-08-06,275817.20853073976,281459.51459420304,-2.0046599140903516
2025-08-07,279162.42909928865,281459.51459420304,-0.816133538148898
2025-08-08,277726.2826485804,281459.51459420304,-1.3263832814481604
2025-08-11,276628.10958707216,281459.51459420304,-1.7165541602303258
2025-08-12,278663.5506693162,281459.51459420304,-0.9933804969847764
2025-08-13,280813.2652579347,281459.51459420304,-0.22960649854032525
2025-08-14,278915.11220348557,281459.51459420304,-0.9040029769062479
2025-08-15,279120.7127528099,281459.51459420304,-0.8309549758035727
2025-08-18,280907.9626968579,281459.51459420304,-0.19596136166877004
2025-08-19,276836.814718089,281459.51459420304,-1.642403129550923
2025-08-20,275706.1880385617,281459.51459420304,-2.044104482996861
2025-08-21,274846.8861479536,281459.51459420304,-2.349406612095963
2025-08-22,278617.32901563024,281459.51459420304,-1.0098026292237963
2025-08-25,277814.8889792786,281459.51459420304,-1.2949022598078053
2025-08-26,279218.77210341865,281459.51459420304,-0.7961153823543657
2025-08-27,279023.2758369083,281459.51459420304,-0.8655734238749007
2025-08-28,279969.93360273563,281459.51459420304,-0.5292345485690972
2025-08-29,277363.9406192271,281459.51459420304,-1.455120101688778
2025-09-02,273694.7087046609,281459.51459420304,-2.7587647554701213
2025-09-03,271881.6656989163,281459.51459420304,-3.4029224093190416
2025-09-04,273625.1402879509,281459.51459420304,-2.7834817798031786
2025-09-05,274253.7563225226,281459.51459420304,-2.560140232626144
2025-09-08,274934.2159599817,281459.51459420304,-2.3183791259034976
2025-09-09,276339.2019425696,281459.51459420304,-1.8192004128962276
2025-09-10,275862.62297574274,281459.51459420304,-1.9885245757386003
2025-09-11,275753.6605277438,281459.51459420304,-2.027237940307578
2025-09-12,276168.50694395055,281459.51459420304,-1.8798467900013438
2025-09-15,278702.85587549396,281459.51459420304,-0.9794157155012211
2025-09-16,279442.7185210799,281459.51459420304,-0.7165492614562522
2025-09-17,281101.58226853027,281459.51459420304,-0.12717009271788807
2025-09-18,282854.16426198743,282854.16426198743,0.0
2025-09-19,284672.4627539352,284672.4627539352,0.0
2025-09-22,285453.04012047505,285453.04012047505,0.0
2025-09-23,283473.86786811193,285453.04012047505,-0.6933442542870838
2025-09-24,282734.47227194457,285453.04012047505,-0.9523695552105922
2025-09-25,280567.94815316,285453.04012047505,-1.7113469750587758
2025-09-26,282013.9494106912,285453.04012047505,-1.2047833536235495
2025-09-29,281863.3109886491,285453.04012047505,-1.2575550536476776
2025-09-30,280147.6121267212,285453.04012047505,-1.8585992258182706
2025-10-01,282215.94059123367,285453.04012047505,-1.134021738873467
2025-10-02,282010.4982123633,285453.04012047505,-1.2059923785218236
2025-10-03,281794.9492716249,285453.04012047505,-1.281503552145128
2025-10-06,284310.67070266604,285453.04012047505,-0.400195218564452
2025-10-07,281714.57241606474,285453.04012047505,-1.3096611978041994
2025-10-08,286063.3073841634,286063.3073841634,0.0
2025-10-09,285186.00740425015,286063.3073841634,-0.3066803596502747
2025-10-10,276787.59946365986,286063.3073841634,-3.2425367675858103
2025-10-13,284331.09510263614,286063.3073841634,-0.605534592103764
2025-10-14,283551.9457590743,286063.3073841634,-0.8779041422871096
2025-10-15,285501.4565225435,286063.3073841634,-0.19640787445183938
2025-10-16,283401.09857277805,286063.3073841634,-0.9306362412324907
2025-10-17,283255.08282765583,286063.3073841634,-0.981679398936785
2025-10-20,285708.3378739669,286063.3073841634,-0.12408774597567511
2025-10-21,285841.23808916635,286063.3073841634,-0.07762942302096838
2025-10-22,282027.89674710366,286063.3073841634,-1.4106704819854563
2025-10-23,285167.20580978016,286063.3073841634,-0.3132528888718355
2025-10-24,289689.575529105,289689.575529105,0.0
2025-10-27,292868.18526251643,292868.18526251643,0.0
2025-10-28,292275.7688491594,292868.18526251643,-0.2022809042320507
2025-10-29,290833.6363088292,292868.18526251643,-0.6946978388463576
2025-10-30,284305.9122833259,292868.18526251643,-2.923592732175946
2025-10-31,288532.9977171954,292868.18526251643,-1.480252128251863
2025-11-03,289040.86752769526,292868.18526251643,-1.306839707218627
2025-11-04,283077.5550832077,292868.18526251643,-3.343015961441062
2025-11-05,292765.5127398326,292868.18526251643,-0.035057588311215436
2025-11-06,286688.78714433964,292868.18526251643,-2.1099588241849485
2025-11-07,287387.2942647962,292868.18526251643,-1.8714531907272105
2025-11-10,292712.42367360543,292868.18526251643,-0.053184878641352934
2025-11-11,291098.3763983486,292868.18526251643,-0.6043021923263672
2025-11-12,292756.56224839535,292868.18526251643,-0.03811373844551559
2025-11-13,285506.58721952594,292868.18526251643,-2.513621626873475
2025-11-14,284716.65127760684,292868.18526251643,-2.7833456807890724
2025-11-17,280095.6797279839,292868.18526251643,-4.36117891162665
2025-11-18,275767.87950414344,292868.18526251643,-5.838908634969996
2025-11-19,276709.66657470376,292868.18526251643,-5.517334931183719
2025-11-20,270928.7797584735,292868.18526251643,-7.4912218561320465
2025-11-21,271385.1080657108,292868.18526251643,-7.335408309219033
2025-11-24,279251.9145120382,292868.18526251643,-4.649283000225212
2025-11-25,280775.28480415803,292868.18526251643,-4.129127391395813
2025-11-26,283120.2578362877,292868.18526251643,-3.328435083343388
2025-11-28,285016.7725957057,292868.18526251643,-2.680869094665579
2025-12-01,284607.97916657757,292868.18526251643,-2.820451831780469
2025-12-02,285860.73248926696,292868.18526251643,-2.3926985332900697
2025-12-03,290838.992668426,292868.18526251643,-0.6928689069697085
2025-12-04,291225.2452766018,292868.18526251643,-0.5609827453405188
2025-12-05,292164.02324361133,292868.18526251643,-0.2404365015865132
2025-12-08,294458.0841734428,294458.0841734428,0.0
2025-12-09,293995.4464901889,294458.0841734428,-0.15711495391697428
2025-12-10,295480.3059679265,295480.3059679265,0.0
2025-12-11,295728.2781273993,295728.2781273993,0.0
2025-12-12,294890.74379557377,295728.2781273993,-0.2832107694025443
2025-12-15,293240.2497594894,295728.2781273993,-0.8413224408786687
2025-12-16,292664.46549397043,295728.2781273993,-1.0360228831782374
2025-12-17,286943.9266007666,295728.2781273993,-2.970413104305293
2025-12-18,293263.47542846104,295728.2781273993,-0.8334687215391696
2025-12-19,295456.40049722244,295728.2781273993,-0.09193494511191558
2025-12-22,296166.56784228253,296166.56784228253,0.0
2025-12-23,296324.9210755335,296324.9210755335,0.0
2025-12-24,296059.53332403395,296324.9210755335,-0.0895597138898394
2025-12-26,295027.8256978112,296324.9210755335,-0.43772740173671004
2025-12-29,293797.38806684606,296324.9210755335,-0.8529599871362694
2025-12-30,293191.1482005463,296324.9210755335,-1.057546177220922
2025-12-31,291376.00409105315,296324.9210755335,-1.670098136369319
2026-01-02,292654.6179762351,296324.9210755335,-1.2386076358264921
2026-01-05,300324.7268729084,300324.7268729084,0.0
2026-01-06,299576.7282579531,300324.7268729084,-0.24906327985170623
2026-01-07,298988.5643889555,300324.7268729084,-0.44490591829236137
2026-01-08,299546.6455690203,300324.7268729084,-0.2590800005013859
2026-01-09,302775.01976526214,302775.01976526214,0.0
2026-01-12,303285.05223836657,303285.05223836657,0.0
2026-01-13,305509.8781352495,305509.8781352495,0.0
2026-01-14,303910.36678646714,305509.8781352495,-0.5235547074763438
2026-01-15,303001.96233495383,305509.8781352495,-0.8208951591363595
2026-01-16,301692.57351332804,305509.8781352495,-1.2494864798550052
2026-01-20,297725.2910763159,305509.8781352495,-2.5480639468840103
2026-01-21,305710.43715168495,305710.43715168495,0.0
2026-01-22,309064.306721946,309064.306721946,0.0
2026-01-23,306596.6382783651,309064.306721946,-0.798432038223355
2026-01-26,308943.16168261104,309064.306721946,-0.039197356893088675
2026-01-27,310060.5320093473,310060.5320093473,0.0
2026-01-28,306486.0597819608,310060.5320093473,-1.1528304503066296
2026-01-29,302711.57000966545,310060.5320093473,-2.370170092935366
2026-01-30,297666.6940735779,310060.5320093473,-3.9972317197068388
2026-02-02,298659.68278555555,310060.5320093473,-3.6769753150807474
2026-02-03,294692.34386448015,310060.5320093473,-4.956512215622411
2026-02-04,289743.19847943616,310060.5320093473,-6.552699048229273
2026-02-05,283114.99880547705,310060.5320093473,-8.690410556045203
2026-02-06,296020.12038621074,310060.5320093473,-4.528280827020343
2026-02-09,298199.94622099044,310060.5320093473,-3.825248480190082
2026-02-10,298294.20281216706,310060.5320093473,-3.7948490641258106
2026-02-11,297334.3883243239,310060.5320093473,-4.104406195316631
2026-02-12,291649.8150439132,310060.5320093473,-5.937781518377535
2026-02-13,296906.3124373665,310060.5320093473,-4.242468232488297
2026-02-17,296205.8939762322,310060.5320093473,-4.468365561824361
2026-02-18,297273.6222227935,310060.5320093473,-4.124004336730055
2026-02-19,294974.3059454408,310060.5320093473,-4.865574462554204
2026-02-20,294361.7222098957,310060.5320093473,-5.063143540945188
2026-02-23,283988.77961379685,310060.5320093473,-8.408600806620706
2026-02-24,287414.0166340509,310060.5320093473,-7.303901347435504
2026-02-25,293395.8794885891,310060.5320093473,-5.374644883940203
2026-02-26,296735.5033069783,310060.5320093473,-4.29755719504708
2026-02-27,292405.7256652241,310060.5320093473,-5.693986986899375
2026-03-02,289921.94627916964,310060.5320093473,-6.49504972453912
