Fecha,Equity,Max_Acumulado,Drawdown_%
2017-12-14,250000.0,250000.0,0.0
2017-12-15,250000.0,250000.0,0.0
2017-12-18,252257.03406598791,252257.03406598791,0.0
2017-12-19,252715.72906930713,252715.72906930713,0.0
2017-12-20,253428.32993031663,253428.32993031663,0.0
2017-12-21,255576.6572563051,255576.6572563051,0.0
2017-12-22,254187.07069748596,255576.6572563051,-0.5437063672937823
2017-12-26,256000.06904388685,256000.06904388685,0.0
2017-12-27,257083.86385284775,257083.86385284775,0.0
2017-12-28,256267.78538505125,257083.86385284775,-0.3174366743856058
2017-12-29,253015.9380107375,257083.86385284775,-1.5823341773168162
2018-01-02,260666.11322198913,260666.11322198913,0.0
2018-01-03,261917.21472911193,261917.21472911193,0.0
2018-01-04,260487.10377739108,261917.21472911193,-0.5460164018619191
2018-01-05,261280.82503751203,261917.21472911193,-0.2429736022727995
2018-01-08,262074.62390062062,262074.62390062062,0.0
2018-01-09,260761.34534387465,262074.62390062062,-0.50110862974813
2018-01-10,258323.17576693388,262074.62390062062,-1.4314427233936586
2018-01-11,259691.65953941175,262074.62390062062,-0.9092694003493049
2018-01-12,258444.15488101786,262074.62390062062,-1.385280637082755
2018-01-16,257232.89878613173,262074.62390062062,-1.8474604837456075
2018-01-17,260573.538500698,262074.62390062062,-0.5727702200163566
2018-01-18,259052.86418202185,262074.62390062062,-1.1530149976461008
2018-01-19,260244.99558483483,262074.62390062062,-0.6981325732931637
2018-01-22,262469.5630432905,262469.5630432905,0.0
2018-01-23,264857.1935253903,264857.1935253903,0.0
2018-01-24,263340.12935725413,264857.1935253903,-0.5727857144233945
2018-01-25,265219.221011057,265219.221011057,0.0
2018-01-26,269540.22889413656,269540.22889413656,0.0
2018-01-29,265635.89619618567,269540.22889413656,-1.4485157610682056
2018-01-30,262775.4289111403,269540.22889413656,-2.509755226798877
2018-01-31,263949.157476931,269540.22889413656,-2.074299424670105
2018-02-01,259970.26491753993,269540.22889413656,-3.5504770534105634
2018-02-02,255123.0992682075,269540.22889413656,-5.348785851032078
2018-02-05,247504.84787431246,269540.22889413656,-8.175173372164277
2018-02-06,252302.54745285952,269540.22889413656,-6.395216592342967
2018-02-07,252896.60202057986,269540.22889413656,-6.174821080267606
2018-02-08,242093.71187581512,269540.22889413656,-10.182716372590605
2018-02-09,246373.79449406193,269540.22889413656,-8.594796589407576
2018-02-12,252879.53905873155,269540.22889413656,-6.181151475518182
2018-02-13,253873.14728524096,269540.22889413656,-5.81252070356033
2018-02-14,248988.23938062912,269540.22889413656,-7.624831958415879
2018-02-15,250711.6508578081,269540.22889413656,-6.985442623380529
2018-02-16,250131.93723948667,269540.22889413656,-7.2005176126316215
2018-02-20,245128.7745314261,269540.22889413656,-9.056701651870371
2018-02-21,244162.66525513213,269540.22889413656,-9.415130254627634
2018-02-22,241344.52948370107,269540.22889413656,-10.460664638490568
2018-02-23,246942.11644267206,269540.22889413656,-8.383947933924189
2018-02-26,248731.52060838163,269540.22889413656,-7.720075170644625
2018-02-27,248449.0708036882,269540.22889413656,-7.824864650809518
2018-02-28,255241.54102308358,269540.22889413656,-5.30484370727045
2018-03-01,252308.90391885914,269540.22889413656,-6.392858329895206
2018-03-02,257868.7770349206,269540.22889413656,-4.330133541513008
2018-03-05,263035.64582198067,269540.22889413656,-2.413214197688687
2018-03-06,264597.67526562314,269540.22889413656,-1.8336979414136472
2018-03-07,270725.5043612125,270725.5043612125,0.0
2018-03-08,271130.3876903768,271130.3876903768,0.0
2018-03-09,274773.7832699762,274773.7832699762,0.0
