Date,Close
2025-02-19,258.1099853515625
2025-02-20,225.07000732421875
2025-02-21,208.83999633789062
2025-02-24,207.3800048828125
2025-02-25,210.5
2025-02-26,213.22999572753906
2025-02-27,208.30999755859375
2025-02-28,206.13999938964844
2025-03-03,198.61000061035156
2025-03-04,198.00999450683594
2025-03-05,200.14999389648438
2025-03-06,197.27000427246094
2025-03-07,198.8000030517578
2025-03-10,190.41000366210938
2025-03-11,191.36000061035156
2025-03-12,189.2100067138672
2025-03-13,180.16000366210938
2025-03-14,182.72999572753906
2025-03-17,186.22000122070312
2025-03-18,183.02000427246094
2025-03-19,180.8699951171875
2025-03-20,172.27999877929688
2025-03-21,175.3000030517578
2025-03-24,178.30999755859375
2025-03-25,178.99000549316406
2025-03-26,176.9199981689453
2025-03-27,174.22999572753906
2025-03-28,168.92999267578125
2025-03-31,168.83999633789062
2025-04-01,167.52999877929688
2025-04-02,169.05999755859375
2025-04-03,155.5500030517578
2025-04-04,144.6699981689453
2025-04-07,144.9499969482422
2025-04-08,143.3300018310547
2025-04-09,159.0
2025-04-10,146.2899932861328
2025-04-11,147.75999450683594
2025-04-14,151.97000122070312
2025-04-15,151.5500030517578
2025-04-16,147.27999877929688
2025-04-17,147.16000366210938
2025-04-21,145.61000061035156
2025-04-22,147.38999938964844
2025-04-23,152.60000610351562
2025-04-24,158.02999877929688
2025-04-25,159.1199951171875
2025-04-28,158.88999938964844
2025-04-29,159.83999633789062
2025-04-30,156.91000366210938
2025-05-01,158.4600067138672
2025-05-02,160.36000061035156
2025-05-05,159.1199951171875
2025-05-06,157.8800048828125
2025-05-07,159.2100067138672
2025-05-08,179.7100067138672
2025-05-09,177.10000610351562
2025-05-12,186.60000610351562
2025-05-13,186.89999389648438
2025-05-14,184.3800048828125
2025-05-15,184.69000244140625
2025-05-16,183.60000610351562
2025-05-19,183.75
2025-05-20,185.88999938964844
2025-05-21,183.60000610351562
2025-05-22,180.6300048828125
2025-05-23,175.9499969482422
2025-05-27,176.64999389648438
2025-05-28,174.35000610351562
2025-05-29,173.77999877929688
2025-05-30,174.49000549316406
2025-06-02,170.5800018310547
2025-06-03,174.17999267578125
2025-06-04,175.64999389648438
2025-06-05,174.57000732421875
2025-06-06,178.22999572753906
2025-06-09,176.69000244140625
2025-06-10,180.75999450683594
2025-06-11,176.5800018310547
2025-06-12,175.83999633789062
2025-06-13,170.75
2025-06-16,172.5800018310547
2025-06-17,168.5800018310547
2025-06-18,165.02000427246094
2025-06-20,163.05999755859375
2025-06-23,168.00999450683594
2025-06-24,172.75
2025-06-25,173.10000610351562
2025-06-26,174.0
2025-06-27,174.92999267578125
2025-06-30,176.82000732421875
2025-07-01,179.02999877929688
2025-07-02,179.5500030517578
2025-07-03,182.8300018310547
2025-07-07,179.97000122070312
2025-07-08,183.30999755859375
2025-07-09,181.72999572753906
2025-07-10,177.75
2025-07-11,169.8800048828125
2025-07-14,168.10000610351562
2025-07-15,163.02999877929688
2025-07-16,166.83999633789062
2025-07-17,164.47999572753906
2025-07-18,164.6999969482422
2025-07-21,165.5
2025-07-22,168.72999572753906
2025-07-23,171.05999755859375
2025-07-24,168.9499969482422
2025-07-25,170.74000549316406
2025-07-28,169.36000061035156
2025-07-29,168.50999450683594
2025-07-30,163.97000122070312
2025-07-31,157.7100067138672
2025-08-01,150.99000549316406
2025-08-04,153.3000030517578
2025-08-05,149.3300018310547
2025-08-06,151.30999755859375
2025-08-07,157.74000549316406
2025-08-08,158.0
2025-08-11,151.8000030517578
2025-08-12,152.92999267578125
2025-08-13,160.8000030517578
2025-08-14,159.3000030517578
2025-08-15,157.7100067138672
2025-08-18,164.60000610351562
2025-08-19,167.52999877929688
2025-08-20,166.44000244140625
2025-08-21,166.39999389648438
2025-08-22,174.9499969482422
2025-08-25,172.50999450683594
2025-08-26,170.27999877929688
2025-08-27,173.5500030517578
2025-08-28,174.17999267578125
2025-08-29,176.36000061035156
2025-09-02,174.6999969482422
2025-09-03,174.0500030517578
2025-09-04,168.08999633789062
2025-09-05,169.4600067138672
2025-09-08,164.4499969482422
2025-09-09,165.02000427246094
2025-09-10,153.10000610351562
2025-09-11,157.85000610351562
2025-09-12,156.08999633789062
2025-09-15,154.5500030517578
2025-09-16,154.57000732421875
2025-09-17,153.4600067138672
2025-09-18,155.8699951171875
2025-09-19,156.1999969482422
2025-09-22,156.42999267578125
2025-09-23,154.0399932861328
2025-09-24,156.42999267578125
2025-09-25,149.99000549316406
2025-09-26,151.83999633789062
2025-09-29,154.5
2025-09-30,150.7899932861328
2025-10-01,152.3000030517578
2025-10-02,152.77000427246094
2025-10-03,154.1199951171875
2025-10-06,152.50999450683594
2025-10-07,149.8699951171875
2025-10-08,151.05999755859375
2025-10-09,150.52999877929688
2025-10-10,142.3800048828125
2025-10-13,146.6999969482422
2025-10-14,146.97999572753906
2025-10-15,142.97000122070312
2025-10-16,142.1999969482422
2025-10-17,144.52000427246094
2025-10-20,145.0
2025-10-21,155.0800018310547
2025-10-22,156.47000122070312
2025-10-23,156.72999572753906
2025-10-24,159.39999389648438
2025-10-27,162.4499969482422
2025-10-28,161.89999389648438
2025-10-29,162.85000610351562
2025-10-30,159.14999389648438
2025-10-31,163.5399932861328
2025-11-03,161.7100067138672
2025-11-04,158.4499969482422
2025-11-05,160.91000366210938
2025-11-06,168.0
2025-11-07,175.3000030517578
2025-11-10,182.39999389648438
2025-11-11,180.16000366210938
2025-11-12,180.1199951171875
2025-11-13,180.47000122070312
2025-11-14,179.02000427246094
2025-11-17,177.77999877929688
2025-11-18,178.7100067138672
2025-11-19,180.92999267578125
2025-11-20,178.6199951171875
2025-11-21,180.97999572753906
2025-11-24,183.22999572753906
2025-11-25,185.8000030517578
2025-11-26,184.69000244140625
2025-11-28,187.0
2025-12-01,190.4199981689453
2025-12-02,192.99000549316406
2025-12-03,200.0
2025-12-04,201.5
2025-12-05,203.60000610351562
2025-12-08,203.63999938964844
2025-12-09,207.97000122070312
2025-12-10,211.72000122070312
2025-12-11,211.11000061035156
2025-12-12,209.6300048828125
2025-12-15,212.13999938964844
2025-12-16,205.85000610351562
2025-12-17,204.3300018310547
2025-12-18,207.02000427246094
2025-12-19,209.1699981689453
2025-12-22,211.58999633789062
2025-12-23,208.0
2025-12-24,209.0800018310547
2025-12-26,211.41000366210938
2025-12-29,211.63999938964844
2025-12-30,206.30999755859375
2025-12-31,204.8800048828125
2026-01-02,200.4600067138672
2026-01-05,206.61000061035156
2026-01-06,218.3800048828125
2026-01-07,218.1999969482422
2026-01-08,219.77999877929688
2026-01-09,211.92999267578125
2026-01-12,211.82000732421875
2026-01-13,211.99000549316406
2026-01-14,221.39999389648438
2026-01-15,215.24000549316406
2026-01-16,212.61000061035156
2026-01-20,206.47999572753906
2026-01-21,212.9499969482422
2026-01-22,219.0500030517578
2026-01-23,218.2100067138672
2026-01-26,220.44000244140625
2026-01-27,218.0399932861328
2026-01-28,218.35000610351562
2026-01-29,208.9199981689453
2026-01-30,208.60000610351562
2026-02-02,210.4199981689453
2026-02-03,183.3300018310547
2026-02-04,184.77999877929688
2026-02-05,177.47000122070312
2026-02-06,186.67999267578125
2026-02-09,190.52999877929688
2026-02-10,191.61000061035156
2026-02-11,177.99000549316406
2026-02-12,163.1199951171875
2026-02-13,166.3699951171875
2026-02-17,162.1999969482422
2026-02-18,167.69000244140625
2026-02-19,131.24000549316406
