Date,Close
2025-02-26,170.73985290527344
2025-02-27,163.10720825195312
2025-02-28,164.39414978027344
2025-03-03,160.39471435546875
2025-03-04,155.89031982421875
2025-03-05,159.93931579589844
2025-03-06,149.4258575439453
2025-03-07,153.603515625
2025-03-10,147.29739379882812
2025-03-11,142.73365783691406
2025-03-12,149.3763427734375
2025-03-13,146.17874145507812
2025-03-14,147.77261352539062
2025-03-17,152.4650421142578
2025-03-18,147.95077514648438
2025-03-19,150.92068481445312
2025-03-20,151.18798828125
2025-03-21,150.70289611816406
2025-03-24,153.31640625
2025-03-25,152.38583374023438
2025-03-26,146.31732177734375
2025-03-27,144.31761169433594
2025-03-28,139.45684814453125
2025-03-31,138.40750122070312
2025-04-01,140.51612854003906
2025-04-02,144.3968048095703
2025-04-03,135.85337829589844
2025-04-04,126.98326110839844
2025-04-07,125.88439178466797
2025-04-08,123.2510757446289
2025-04-09,138.2886962890625
2025-04-10,132.4865264892578
2025-04-11,131.4929962158203
2025-04-14,133.76815795898438
2025-04-15,133.0727081298828
2025-04-16,128.9197540283203
2025-04-17,127.78713989257812
2025-04-21,122.02470397949219
2025-04-22,126.41608428955078
2025-04-23,130.54913330078125
2025-04-24,136.61956787109375
2025-04-25,137.59323120117188
2025-04-28,139.2325439453125
2025-04-29,139.87832641601562
2025-04-30,139.8087921142578
2025-05-01,144.54791259765625
2025-05-02,149.75396728515625
2025-05-05,148.3232879638672
2025-05-06,146.7435760498047
2025-05-07,148.40277099609375
2025-05-08,149.32675170898438
2025-05-09,149.3665008544922
2025-05-12,156.2019500732422
2025-05-13,161.21923828125
2025-05-14,161.89483642578125
2025-05-15,158.36781311035156
2025-05-16,159.4507598876953
2025-05-19,158.6062774658203
2025-05-20,159.2719268798828
2025-05-21,156.1621856689453
2025-05-22,156.29135131835938
2025-05-23,154.96005249023438
2025-05-27,160.861572265625
2025-05-28,162.78903198242188
2025-05-29,161.8451690673828
2025-05-30,164.4581298828125
2025-06-02,165.4914093017578
2025-06-03,168.0447540283203
2025-06-04,167.01150512695312
2025-06-05,170.03179931640625
2025-06-06,172.89317321777344
2025-06-09,176.00289916992188
2025-06-10,176.33074951171875
2025-06-11,175.23788452148438
2025-06-12,198.5658416748047
