Date,Close,Return
2025-02-26,170.73985290527344,
2025-02-27,163.10720825195312,-4.470335732077091
2025-02-28,164.39414978027344,0.7890157290488142
2025-03-03,160.39471435546875,-2.4328331818074256
2025-03-04,155.89031982421875,-2.8083185592184146
2025-03-05,159.93931579589844,2.5973363684450135
2025-03-06,149.4258575439453,-6.573404543864337
2025-03-07,153.603515625,2.7958066627297606
2025-03-10,147.29739379882812,-4.105454097526861
2025-03-11,142.73365783691406,-3.0983141277754034
2025-03-12,149.3763427734375,4.653902266074694
2025-03-13,146.17874145507812,-2.140634359491078
2025-03-14,147.77261352539062,1.0903583205375433
2025-03-17,152.4650421142578,3.1754385856219036
2025-03-18,147.95077514648438,-2.960853783381001
2025-03-19,150.92068481445312,2.0073633713836747
2025-03-20,151.18798828125,0.17711519605514425
2025-03-21,150.70289611816406,-0.32085363963143543
2025-03-24,153.31640625,1.7342136078040138
2025-03-25,152.38583374023438,-0.606962120054011
2025-03-26,146.31732177734375,-3.982333405896088
2025-03-27,144.31761169433594,-1.366694017302228
2025-03-28,139.45684814453125,-3.3681014345634863
2025-03-31,138.40750122070312,-0.7524527750265797
2025-04-01,140.51612854003906,1.523492080081379
2025-04-02,144.3968048095703,2.761730137210172
2025-04-03,135.85337829589844,-5.916631275144136
2025-04-04,126.98326110839844,-6.5291841091947305
2025-04-07,125.88439178466797,-0.8653654931671917
2025-04-08,123.2510757446289,-2.0918526933374593
2025-04-09,138.2886962890625,12.200802673390786
2025-04-10,132.4865264892578,-4.195693469896133
2025-04-11,131.4929962158203,-0.7499104246785904
2025-04-14,133.76815795898438,1.730253175940888
2025-04-15,133.0727081298828,-0.5198919082931575
2025-04-16,128.9197540283203,-3.1208158005690323
2025-04-17,127.78713989257812,-0.8785419614540824
2025-04-21,122.02470397949219,-4.509402055582445
2025-04-22,126.41608428955078,3.598763337952149
2025-04-23,130.54913330078125,3.269401227270974
2025-04-24,136.61956787109375,4.6499233023067355
2025-04-25,137.59323120117188,0.712682191321834
2025-04-28,139.2325439453125,1.191419614053424
2025-04-29,139.87832641601562,0.4638157519816444
2025-04-30,139.8087921142578,-0.04971056169988941
2025-05-01,144.54791259765625,3.3897156335671808
2025-05-02,149.75396728515625,3.6016118074225334
2025-05-05,148.3232879638672,-0.9553532018052091
2025-05-06,146.7435760498047,-1.0650464507281798
2025-05-07,148.40277099609375,1.130676375043449
2025-05-08,149.32675170898438,0.622616886927907
2025-05-09,149.3665008544922,0.026618904551867217
2025-05-12,156.2019500732422,4.576293331935832
2025-05-13,161.21923828125,3.2120522219186265
2025-05-14,161.89483642578125,0.41905553687870967
2025-05-15,158.36781311035156,-2.1785891343400587
2025-05-16,159.4507598876953,0.6838174728024837
2025-05-19,158.6062774658203,-0.5296195656074532
2025-05-20,159.2719268798828,0.41968667615059907
2025-05-21,156.1621856689453,-1.9524729008161934
2025-05-22,156.29135131835938,0.08271250101985483
2025-05-23,154.96005249023438,-0.8518058209204371
2025-05-27,160.861572265625,3.8084136398718327
2025-05-28,162.78903198242188,1.198210168935887
2025-05-29,161.8451690673828,-0.5798074376048734
2025-05-30,164.4581298828125,1.6144818102922898
2025-06-02,165.4914093017578,0.6282933046129147
2025-06-03,168.0447540283203,1.5428865687564075
2025-06-04,167.01150512695312,-0.6148653121257563
2025-06-05,170.03179931640625,1.8084348064268063
2025-06-06,172.89317321777344,1.6828463339628286
2025-06-09,176.00289916992188,1.7986401049111755
2025-06-10,176.33074951171875,0.18627553485943693
2025-06-11,175.23788452148438,-0.6197812878699027
2025-06-12,198.5658416748047,13.312165469824699
2025-06-13,213.8263702392578,7.685374501343278
2025-06-16,209.73306274414062,-1.9143136978554298
2025-06-17,206.8319549560547,-1.3832381743383415
2025-06-18,209.50454711914062,1.292156312912951
2025-06-20,203.84146118164062,-2.7030849761363496
2025-06-23,205.69932556152344,0.9114261490832387
2025-06-24,213.8760528564453,3.9750870707041974
2025-06-25,209.35552978515625,-2.1136181498184192
2025-06-26,211.44190979003906,0.9965726756890003
2025-06-27,208.8786163330078,-1.212292047294028
2025-06-30,217.2143096923828,3.9906877523957274
2025-07-01,217.5421600341797,0.15093404401449462
2025-07-02,228.4907989501953,5.032881402986611
2025-07-03,235.78329467773438,3.1915927297924362
2025-07-07,230.7560272216797,-2.1321559116076916
2025-07-08,232.98153686523438,0.9644426931551875
2025-07-09,234.28305053710938,0.5586338254038647
2025-07-10,233.9744110107422,-0.13173788102024409
2025-07-11,229.5537872314453,-1.8893620717754134
2025-07-14,228.2793731689453,-0.5551701315278601
2025-07-15,233.93460083007812,2.4773274880807827
2025-07-16,240.24691772460938,2.6983254602495954
2025-07-17,247.66439819335938,3.0874404296218794
2025-07-18,244.37879943847656,-1.3266334519011713
2025-07-21,242.47714233398438,-0.7781596066687158
2025-07-22,237.07083129882812,-2.229616772582088
2025-07-23,240.84429931640625,1.5917048912785337
2025-07-24,241.77023315429688,0.3844532922384847
2025-07-25,244.05023193359375,0.9430436284692645
2025-07-28,246.62893676757812,1.0566287167823818
2025-07-29,248.88902282714844,0.9163912755704828
2025-07-30,249.50633239746094,0.24802603316949057
2025-07-31,252.66249084472656,1.2649612604773042
2025-08-01,243.35330200195312,-3.684436424120585
2025-08-04,251.4279022216797,3.3180565676736773
2025-08-05,254.55419921875,1.24341688788141
2025-08-06,255.3108673095703,0.29725225242505093
2025-08-07,248.30160522460938,-2.7453833668827143
2025-08-08,248.958740234375,0.2646519377799361
2025-08-11,251.57723999023438,1.0517806096681959
2025-08-12,252.75210571289062,0.46700000473089975
2025-08-13,243.1143341064453,-3.813132072336989
2025-08-14,243.8909454345703,0.319442837864492
2025-08-15,247.19644165039062,1.3553173160776755
2025-08-18,247.98301696777344,0.3181984789632386
2025-08-19,233.59605407714844,-5.801592006800471
2025-08-20,234.0341339111328,0.18753734334899796
2025-08-21,232.14244079589844,-0.8082979536449542
2025-08-22,235.3384246826172,1.376733989597656
2025-08-25,234.38262939453125,-0.406136519939293
2025-08-26,233.1878662109375,-0.509749031607043
2025-08-27,234.78086853027344,0.6831411707738377
2025-08-28,239.2711944580078,1.9125604040242994
2025-08-29,225.14312744140625,-5.904625104833105
2025-09-02,224.31674194335938,-0.36704895567463147
2025-09-03,222.4748077392578,-0.8211309544459477
2025-09-04,222.02679443359375,-0.20137709532898063
2025-09-05,231.7840118408203,4.394612565622058
2025-09-08,237.43922424316406,2.439863024817912
2025-09-09,240.45599365234375,1.2705438281293224
2025-09-10,326.8970947265625,35.94882363348242
2025-09-11,306.51641845703125,-6.234584705189549
2025-09-12,290.90484619140625,-5.093225460551798
2025-09-15,300.8214111328125,3.4088689381549298
2025-09-16,305.31170654296875,1.4926781286102697
2025-09-17,300.0945739746094,-1.708788905421521
2025-09-18,295.3254699707031,-1.5892003446586034
2025-09-19,307.3129577636719,4.059076853126808
2025-09-22,326.7178649902344,6.3143797670533575
2025-09-23,312.4603576660156,-4.363859112707202
2025-09-24,307.1138000488281,-1.711115501859073
2025-09-25,290.05853271484375,-5.553403113527544
2025-09-26,282.222900390625,-2.7013969390522807
2025-09-29,281.5260009765625,-0.24693226988239392
2025-09-30,280.0126037597656,-0.537569251702219
2025-10-01,287.7486877441406,2.762762775854233
2025-10-02,287.5196838378906,-0.07958469178271921
2025-10-03,284.8912353515625,-0.9141803619296174
2025-10-06,290.31744384765625,1.9046596815790684
2025-10-07,282.99951171875,-2.520665665803512
2025-10-08,287.370361328125,1.5444724914291719
2025-10-09,296.17706298828125,3.0645824501367436
2025-10-10,292.1876220703125,-1.3469783506248723
2025-10-13,307.1979675292969,5.137228385182002
2025-10-14,298.2117004394531,-2.9252365053446305
2025-10-15,302.81951904296875,1.545150172419607
2025-10-16,312.1748046875,3.089393204935309
2025-10-17,290.5419921875,-6.929711230749502
2025-10-20,276.44921875,-4.850511738903918
2025-10-21,274.4245910644531,-0.7323687492051811
2025-10-22,271.941162109375,-0.9049586064591608
2025-10-23,279.3316345214844,2.7176733212373794
2025-10-24,282.5830078125,1.1639831974582737
2025-10-27,280.6581115722656,-0.6811790472240897
2025-10-28,280.089599609375,-0.20256388091040023
2025-10-29,274.5741882324219,-1.9691596491426822
2025-10-30,256.2127380371094,-6.687245554112275
2025-10-31,261.9176330566406,2.226624274514011
2025-11-03,257.1701965332031,-1.812568504088019
2025-11-04,247.51571655273438,-3.7541208548332983
2025-11-05,249.6500701904297,0.8623103483776484
2025-11-06,243.15724182128906,-2.6007716978360906
2025-11-07,238.6291961669922,-1.8621882779970012
2025-11-10,240.195068359375,0.6561947228314047
2025-11-11,235.52740478515625,-1.9432803537977272
2025-11-12,226.3915557861328,-3.878890020189796
2025-11-13,216.99639892578125,-4.149959051134822
2025-11-14,222.26248168945312,2.4268065229382074
2025-11-17,219.2803497314453,-1.3417163055771453
2025-11-18,219.90869140625,0.28654718745853014
2025-11-19,224.93540954589844,2.285820586491649
2025-11-20,210.13453674316406,-6.580054617729825
2025-11-21,198.23597717285156,-5.662353154662747
2025-11-24,199.75196838378906,0.7647407057779665
2025-11-25,196.5105438232422,-1.622724715442625
2025-11-26,204.41964721679688,4.024773042544116
2025-11-28,201.41757202148438,-1.4685844713001828
2025-12-01,200.4102325439453,-0.5001249232771121
2025-12-02,200.56982421875,0.07963249819078477
2025-12-03,207.1823272705078,3.296858377133516
2025-12-04,213.7649383544922,3.1772068451522806
2025-12-05,217.00636291503906,1.516349961550545
2025-12-08,219.95855712890625,1.3604182726305591
2025-12-09,220.94595336914062,0.44890103532353454
2025-12-10,222.4220428466797,0.6680771722815448
2025-12-11,198.32574462890625,-10.833592709326723
2025-12-12,189.4691619873047,-4.465674720230295
2025-12-15,184.43246459960938,-2.6583204015188433
2025-12-16,188.1526336669922,2.017090144871747
2025-12-17,177.989501953125,-5.401535719056005
2025-12-18,179.55535888671875,0.8797467920361512
2025-12-19,191.46388244628906,6.632229543805135
2025-12-22,197.85699462890625,3.339069541959505
2025-12-23,194.8249969482422,-1.5324187483746865
2025-12-24,196.96932983398438,1.1006456662806308
2025-12-26,197.468017578125,0.25318040354858073
2025-12-29,194.86489868164062,-1.3182483565747471
2025-12-30,196.69007873535156,0.9366386999706933
2025-12-31,194.39613342285156,-1.1662740323504228
