Fecha,Equity
2025-05-06,250000.0
2025-05-07,250000.0
2025-05-08,253487.16432367245
2025-05-09,254330.52452857085
2025-05-12,260143.26516320388
2025-05-13,260779.9220105369
2025-05-14,260779.9220105369
2025-05-15,258782.9126980281
2025-05-16,261247.8088892243
2025-05-19,260990.763149067
2025-05-20,262765.74472061795
2025-05-21,260882.980472793
2025-05-22,261389.33869780757
2025-05-23,259731.83122904343
2025-05-27,262737.93513515487
2025-05-28,262088.8100768489
2025-05-29,262111.46630587702
2025-05-30,258871.13540147917
2025-06-02,258993.63545825917
2025-06-03,259606.29127321875
2025-06-04,259414.71017971027
2025-06-05,256134.58156002325
2025-06-06,258939.48348830346
2025-06-09,260008.39957239543
2025-06-10,260261.7153538149
2025-06-11,260186.78522527532
2025-06-12,260681.16820019655
2025-06-13,257392.69913932926
2025-06-16,263254.78207918874
2025-06-17,262766.0324664122
2025-06-18,266299.45626576024
2025-06-20,267011.81259611633
2025-06-23,267595.35765055614
2025-06-24,267681.0566685111
2025-06-25,266272.456458179
2025-06-26,267077.6987946192
2025-06-27,267301.2140356751
2025-06-30,267689.4841289657
2025-07-01,265619.5953442779
2025-07-02,268200.59200157435
2025-07-03,271355.23518119496
2025-07-07,271667.2854847333
2025-07-08,273027.42098222824
2025-07-09,273568.98074111243
2025-07-10,274074.20962461975
2025-07-11,272303.9358506041
2025-07-14,273259.3628981248
2025-07-15,272981.0081523883
2025-07-16,272884.6347405198
2025-07-17,273822.36603681627
2025-07-18,274797.707397557
2025-07-21,273560.6388412109
2025-07-22,275980.522711319
2025-07-23,276245.8293943374
2025-07-24,276709.7426186815
2025-07-25,278073.3591819116
2025-07-28,279814.350419748
2025-07-29,278205.75626872946
2025-07-30,279122.7596978887
2025-07-31,281459.50600412465
2025-08-01,274154.30426798033
2025-08-04,277558.0738296886
2025-08-05,275185.91200088506
2025-08-06,275817.2003514342
2025-08-07,279162.42246242566
2025-08-08,277726.27813567396
2025-08-11,276628.10508593655
2025-08-12,278663.5426260064
2025-08-13,280813.25851600757
2025-08-14,278915.1054807465
2025-08-15,279120.7060725476
2025-08-18,280907.9548392377
2025-08-19,276836.8070296098
2025-08-20,275706.1803827402
2025-08-21,274846.8777014121
2025-08-22,278617.320461971
2025-08-25,277814.8804432354
2025-08-26,279218.7635165231
2025-08-27,279023.2672470684
2025-08-28,279969.92495393654
2025-08-29,277363.9322445077
2025-09-02,273694.69960571255
2025-09-03,271881.655858313
2025-09-04,273625.13163013663
2025-09-05,274253.7489161677
2025-09-08,274934.2076028262
2025-09-09,276339.1944251097
2025-09-10,275862.6150342032
2025-09-11,275753.6525963075
2025-09-12,276168.49899128475
2025-09-15,278702.847857745
2025-09-16,279442.71046379756
2025-09-17,281101.57413881476
2025-09-18,282854.1560413835
2025-09-19,284672.4544874082
2025-09-22,285453.03385287116
2025-09-23,283473.8596709573
2025-09-24,282734.4659700167
2025-09-25,280567.94179115066
2025-09-26,282013.94504096726
2025-09-29,281863.30663581996
2025-09-30,280147.6077742851
2025-10-01,282215.9362021489
2025-10-02,282010.4925071928
2025-10-03,281794.94484435086
2025-10-06,284310.66747315123
2025-10-07,281714.567984905
2025-10-08,286063.3012991983
2025-10-09,285186.0013389257
2025-10-10,276787.5936077928
2025-10-13,284331.0883966199
2025-10-14,283551.9384264749
2025-10-15,285501.4491105741
2025-10-16,283401.09121533565
2025-10-17,283255.07547961536
2025-10-20,285708.33181660867
2025-10-21,285841.23204962007
2025-10-22,282027.89084561565
2025-10-23,285167.19982174505
2025-10-24,289689.570450378
2025-10-27,292868.1790225516
2025-10-28,292275.7636132122
2025-10-29,290833.63106940873
2025-10-30,284305.9071907226
2025-10-31,288532.99247798184
2025-11-03,289040.86232600105
2025-11-04,283077.55002885236
2025-11-05,292765.50748788135
2025-11-06,286688.78326154314
2025-11-07,287387.28911581193
2025-11-10,292712.41712616844
2025-11-11,291098.3699374527
2025-11-12,292756.55576496304
2025-11-13,285506.57963126537
2025-11-14,284716.6436932307
2025-11-17,280095.6710582541
2025-11-18,275767.8722304918
2025-11-19,276709.65924504277
2025-11-20,270928.7726112989
2025-11-21,271385.1009008217
2025-11-24,279251.907075046
2025-11-25,280775.2773363917
2025-11-26,283120.25025063555
2025-11-28,285016.7649394872
2025-12-01,284607.9714947456
2025-12-02,285860.72476160893
2025-12-03,290838.9847188216
2025-12-04,291225.2373483816
2025-12-05,292164.01528442686
2025-12-08,294458.0762593481
2025-12-09,293995.4386308686
2025-12-10,295480.2980208652
2025-12-11,295728.27022088296
2025-12-12,294890.73598691635
2025-12-15,293240.241992968
2025-12-16,292664.457742123
2025-12-17,286943.9190114031
2025-12-18,293263.46765757294
2025-12-19,295456.39268587064
2025-12-22,296166.5600068808
2025-12-23,296324.91319300095
2025-12-24,296059.52546521294
2025-12-26,295027.81786433415
2025-12-29,293797.3802700379
2025-12-30,293191.14040262473
2025-12-31,291375.9963615831
2026-01-02,292654.610154569
2026-01-05,300324.7188638082
2026-01-06,299576.72029418696
2026-01-07,298988.55649037834
2026-01-08,299546.63767816266
2026-01-09,302775.0118043551
2026-01-12,303285.0442712344
2026-01-13,305509.8701153452
2026-01-14,303910.3588305635
2026-01-15,303001.9544128314
2026-01-16,301692.5656216721
2026-01-20,297725.283283217
2026-01-21,305710.4291403367
2026-01-22,309064.2986248097
2026-01-23,306596.6302793157
2026-01-26,308943.1536091313
2026-01-27,310060.5238934237
2026-01-28,306486.0517453183
2026-01-29,302711.5620884391
2026-01-30,297666.68630305474
2026-02-02,298659.6749979093
2026-02-03,294692.3362109477
2026-02-04,289743.19096517033
2026-02-05,283114.99143310136
2026-02-06,296020.11263523303
2026-02-09,298199.93838946614
2026-02-10,298294.1949867367
2026-02-11,297334.3805353074
2026-02-12,291649.8074305294
2026-02-13,296906.3047026823
2026-02-17,296205.88624933525
2026-02-18,297273.6144691465
2026-02-19,294974.2982383504
2026-02-20,294361.7145172957
2026-02-23,283988.7721756414
2026-02-24,287414.00911191286
2026-02-25,293395.8717941172
2026-02-26,296735.4955615322
2026-02-27,292405.7179821839
2026-03-02,291028.9474906989
