Fecha,Ticker,Tipo,Precio,Capital_Invertido,Capital_Recuperado,Beneficio,Retorno_%,Dias,operaciones_abiertas,Total_Invertido_global,Total_disponible
2025-12-18,MRVL,SELL,84.40926361083984,42959.456045657316,40576.82152489494,-2382.6345207623744,-5.546239966889033,7,8,177500.96958202825,76359.95642803778
2025-12-18,KLAC,SELL,1220.8037109375,27300.365374101897,27951.36327058262,650.9978964807233,2.384575765049224,6,7,150200.60420792634,104311.3196986204
2025-12-18,LRCX,SELL,164.6999969482422,21840.29229928152,22409.02055381708,568.7282545355629,2.604032248022037,6,6,128360.31190864483,126720.34025243748
2025-12-19,AMD,SELL,213.42999267578125,34125.45671762737,34554.492928559055,429.03621093168476,1.2572321433871547,7,3,34105.80045455802,221480.01257569558
2025-12-19,NVDA,SELL,180.99000549316406,13977.787071540173,14454.57488917682,476.78781763664665,3.41103935262701,7,2,20128.013383017846,235934.5874648724
2025-12-19,AMAT,SELL,256.0906066894531,42656.82089703422,42196.040242378884,-460.7806546553329,-1.080203927450607,7,4,68231.25717218539,186925.51964713653
2025-12-22,ON,SELL,56.369998931884766,11182.229657232137,11819.655957094117,637.4262998619797,5.700350640265395,5,1,8945.78372578571,247754.2434219665
2025-12-22,TSLA,SELL,488.7300109863281,8945.78372578571,9356.83107308407,411.04734729835945,4.5948723990894,5,0,0.0,257111.07449505056
2025-12-26,TSLA,BUY,475.19000244140625,51422.21489901011,0.0,0.0,0.0,0,1,51422.21489901011,205688.85959604045
2025-12-31,KLAC,BUY,1213.503173828125,41137.77191920809,0.0,0.0,0.0,0,2,92559.9868182182,164551.08767683237
2025-12-31,MRVL,BUY,84.91889953613281,32910.21753536647,0.0,0.0,0.0,0,3,125470.20435358468,131640.8701414659
2025-12-31,MU,BUY,285.4100036621094,26328.17402829318,0.0,0.0,0.0,0,4,151798.37838187785,105312.69611317271
2026-01-02,TSLA,SELL,438.07000732421875,51422.21489901011,47405.31143690163,-4016.9034621084793,-7.811611129542784,7,3,100376.16348286773,152718.00755007434
2026-01-02,KLAC,SELL,1272.8160400390625,41137.77191920809,43148.47878399759,2010.7068647894994,4.887738861352031,2,2,59238.39156365965,195866.48633407193
2026-01-02,MRVL,SELL,89.32572937011719,32910.21753536647,34618.079145325966,1707.8616099594947,5.189457067927816,2,1,26328.17402829318,230484.5654793979
2026-01-02,MU,SELL,315.4200134277344,26328.17402829318,29096.50292203281,2768.328893739632,10.514701440231633,2,0,0.0,259581.0684014307
2026-01-02,TSLA,BUY,438.07000732421875,51916.21368028614,0.0,0.0,0.0,0,1,51916.21368028614,207664.85472114457
2026-01-05,TSLA,SELL,451.6700134277344,51916.21368028614,53527.96707841538,1611.7533981292363,3.1045280151877908,3,0,0.0,261192.82179955996
2026-01-06,TSLA,BUY,432.9599914550781,33432.68119034368,0.0,0.0,0.0,0,3,127462.09703818528,133730.7247613747
2026-01-06,MRVL,BUY,88.16656494140625,41790.8514879296,0.0,0.0,0.0,0,2,94029.41584784159,167163.4059517184
2026-01-06,AMD,BUY,214.35000610351562,52238.564359911994,0.0,0.0,0.0,0,1,52238.564359911994,208954.25743964798
2026-01-07,KLAC,BUY,1357.9254150390625,26746.144952274943,0.0,0.0,0.0,0,4,154208.24199046023,106984.57980909976
2026-01-08,AMAT,BUY,281.2891845703125,21396.915961819952,0.0,0.0,0.0,0,5,175605.15795228016,85587.66384727981
