Fecha,Ticker,Tipo,Precio,Capital_Invertido,Capital_Recuperado,Beneficio,Retorno_%,Dias,Año
2025-03-04,COF,BUY,182.41700744628906,25000.0,0.0,0.0,0.0,0,2025
2025-03-04,GS,BUY,572.3412475585938,22500.0,0.0,0.0,0.0,0,2025
2025-03-04,HAL,BUY,23.453184127807617,20250.0,0.0,0.0,0.0,0,2025
2025-03-04,MS,BUY,119.19239807128906,18225.0,0.0,0.0,0.0,0,2025
2025-03-04,TSLA,BUY,272.0400085449219,16402.5,0.0,0.0,0.0,0,2025
2025-03-04,UPST,BUY,59.2599983215332,14762.25,0.0,0.0,0.0,0,2025
2025-03-04,URI,BUY,592.6820678710938,13286.025000000001,0.0,0.0,0.0,0,2025
2025-03-05,URI,SELL,628.3474731445312,13286.025000000001,14085.528632360754,799.5036323607528,6.017628540972586,1,2025
2025-03-05,CRWD,BUY,365.44000244140625,13365.975363236075,0.0,0.0,0.0,0,2025
2025-03-06,COIN,BUY,214.1699981689453,12029.377826912467,0.0,0.0,0.0,0,2025
2025-03-06,CVNA,BUY,186.85000610351562,10826.44004422122,0.0,0.0,0.0,0,2025
2025-03-06,DDOG,BUY,111.45999908447266,9743.7960397991,0.0,0.0,0.0,0,2025
2025-03-06,KLAC,BUY,686.921875,8769.41643581919,0.0,0.0,0.0,0,2025
2025-03-06,LCID,BUY,20.899999618530273,7892.47479223727,0.0,0.0,0.0,0,2025
2025-03-06,LRCX,BUY,76.00473022460938,7103.227313013544,0.0,0.0,0.0,0,2025
2025-03-06,MRVL,BUY,72.03935241699219,6392.90458171219,0.0,0.0,0.0,0,2025
2025-03-06,MU,BUY,88.97837829589844,5753.6141235409705,0.0,0.0,0.0,0,2025
2025-03-06,NET,BUY,131.02000427246094,5178.252711186874,0.0,0.0,0.0,0,2025
2025-03-06,NVDA,BUY,110.53976440429688,4660.427440068186,0.0,0.0,0.0,0,2025
2025-03-06,OKTA,BUY,111.22000122070312,4194.384696061368,0.0,0.0,0.0,0,2025
2025-03-06,ON,BUY,43.880001068115234,3774.946226455231,0.0,0.0,0.0,0,2025
2025-03-06,PLTR,BUY,80.45999908447266,3397.451603809708,0.0,0.0,0.0,0,2025
2025-03-06,RIVN,BUY,11.029999732971191,3057.706443428737,0.0,0.0,0.0,0,2025
2025-03-06,SNOW,BUY,156.22000122070312,2751.9357990858634,0.0,0.0,0.0,0,2025
2025-03-06,VST,BUY,113.78675079345703,2476.742219177277,0.0,0.0,0.0,0,2025
2025-03-07,HAL,SELL,24.450777053833008,20250.0,21111.343885842016,861.3438858420159,4.253550053540822,3,2025
2025-03-07,PLTR,SELL,84.91000366210938,3397.451603809708,3585.3546035770796,187.9029997673715,5.530704235982875,1,2025
2025-03-10,AMAT,BUY,148.6601104736328,4698.7378462014585,0.0,0.0,0.0,0,2025
2025-03-10,AMD,BUY,96.62999725341797,4228.864061581312,0.0,0.0,0.0,0,2025
2025-03-10,PLTR,BUY,76.37999725341797,3805.977655423181,0.0,0.0,0.0,0,2025
2025-03-10,TTD,BUY,60.310001373291016,3425.379889880863,0.0,0.0,0.0,0,2025
2025-03-10,URI,BUY,594.5059814453125,3082.8419008927767,0.0,0.0,0.0,0,2025
2025-03-10,ZS,BUY,194.69000244140625,2774.557710803499,0.0,0.0,0.0,0,2025
2025-03-11,COF,SELL,163.17886352539062,25000.0,22363.438833059066,-2636.5611669409336,-10.546244667763737,7,2025
2025-03-11,GS,SELL,523.3838500976562,22500.0,20575.376451426695,-1924.623548573305,-8.553882438103578,7,2025
2025-03-11,MS,SELL,109.71340942382812,18225.0,16775.62427725759,-1449.3757227424103,-7.952678862784146,7,2025
2025-03-11,TSLA,SELL,230.5800018310547,16402.5,13902.692108647467,-2499.8078913525333,-15.240407811934364,7,2025
2025-03-11,UPST,SELL,46.650001525878906,14762.25,11620.975439264721,-3141.274560735279,-21.279104206576093,7,2025
2025-03-12,CRWD,SELL,346.760009765625,13365.975363236075,12682.75425930136,-683.2211039347148,-5.111644196307264,7,2025
2025-03-12,LCID,SELL,21.600000381469727,7892.47479223727,8156.816346155202,264.3415539179323,3.3492860082103615,6,2025
2025-03-12,MU,SELL,95.32758331298828,5753.6141235409705,6164.173142026355,410.5590184853845,7.135671765083762,6,2025
2025-03-12,NVDA,SELL,115.71900177001953,4660.427440068186,4878.787412770481,218.35997270229473,4.68540655359071,6,2025
2025-03-12,VST,SELL,121.25582122802734,2476.742219177277,2639.317931677302,162.57571250002502,6.564095013248061,6,2025
2025-03-12,AMD,SELL,100.79000091552734,4228.864061581312,4410.9202603060685,182.05619872475654,4.30508514990382,2,2025
