Fecha,Equity,Max_Acumulado,Drawdown_%
2025-03-03,250000.0,250000.0,0.0
2025-03-04,250000.0,250000.0,0.0
2025-03-05,252477.2393196805,252477.2393196805,0.0
2025-03-06,247029.93721261102,252477.2393196805,-2.15754185278152
2025-03-07,247062.43202353362,252477.2393196805,-2.144671460578977
2025-03-10,231443.9269978123,252477.2393196805,-8.330775628941481
2025-03-11,233889.6618916606,252477.2393196805,-7.362080430737268
2025-03-12,237597.46319390298,252477.2393196805,-5.893511892744163
2025-03-13,234505.49901629228,252477.2393196805,-7.118162552717411
2025-03-14,241742.3887388848,252477.2393196805,-4.251809236239111
2025-03-17,244100.33586216997,252477.2393196805,-3.3178846061857827
2025-03-18,243380.30829877156,252477.2393196805,-3.6030697441960773
2025-03-19,248905.00353159587,252477.2393196805,-1.4148743853942205
2025-03-20,249572.73056481162,252477.2393196805,-1.1504041959169466
2025-03-21,252950.1849549732,252950.1849549732,0.0
2025-03-24,253948.4721618968,253948.4721618968,0.0
2025-03-25,253251.90260512303,253948.4721618968,-0.2742956281027282
2025-03-26,252734.52086623036,253948.4721618968,-0.47803055688104695
2025-03-27,249239.9741315787,253948.4721618968,-1.8541155180946862
2025-03-28,242875.79154855243,253948.4721618968,-4.360207611836044
2025-03-31,242158.3044355353,253948.4721618968,-4.642740169291129
2025-04-01,245213.30140942958,253948.4721618968,-3.439741408209134
2025-04-02,248950.12432059555,253948.4721618968,-1.9682527714184068
2025-04-03,244719.9095524491,253948.4721618968,-3.6340295851688813
2025-04-04,228078.8503459202,253948.4721618968,-10.186957060912832
2025-04-07,230909.7823521976,253948.4721618968,-9.072190753331883
2025-04-08,226259.70738483648,253948.4721618968,-10.903300398439969
2025-04-09,255340.53441734324,255340.53441734324,0.0
2025-04-10,252500.56440831054,255340.53441734324,-1.11222842683915
2025-04-11,257774.4311957602,257774.4311957602,0.0
2025-04-14,258913.76744766184,258913.76744766184,0.0
2025-04-15,260492.2685239161,260492.2685239161,0.0
2025-04-16,258434.17243894318,260492.2685239161,-0.7900795277476631
2025-04-17,258361.68676645908,260492.2685239161,-0.8179059476620948
2025-04-21,255030.3882892044,260492.2685239161,-2.0967532993057927
2025-04-22,260438.94275928522,260492.2685239161,-0.02047115061535739
2025-04-23,266990.10041376227,266990.10041376227,0.0
2025-04-24,268061.15493002854,268061.15493002854,0.0
2025-04-25,267943.56511042523,268061.15493002854,-0.04386678839535807
2025-04-28,267850.7153943137,268061.15493002854,-0.07850430091961334
2025-04-29,267785.7210457181,268061.15493002854,-0.10275039081373637
2025-04-30,267785.7210457181,268061.15493002854,-0.10275039081373637
2025-05-01,268365.4459384759,268365.4459384759,0.0
2025-05-02,270726.7801233623,270726.7801233623,0.0
2025-05-05,268395.4753274061,270726.7801233623,-0.861128254431989
2025-05-06,266873.98529910285,270726.7801233623,-1.4231302948691908
2025-05-07,266401.080591254,270726.7801233623,-1.5978099876699408
